id	target	response	HumanPartialFinal	question
3059	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	Between the humerus and scapula on the side	0	The Deltoid Muscle
3060	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	"Is located on the side of the upper arm and attaches at the scapula, also to the humerus"	1	The Deltoid Muscle
3061	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	Is located on the side of the upper arm and attaches to the shoulder at the scapula.	0.5	The Deltoid Muscle
3062	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	"Located on the side of the upper arm at the shoulder, attaches the scapula to the humerus."	1	The Deltoid Muscle
3063	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	at the top of the arm 	0	The Deltoid Muscle
3064	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	on the side of the upper arm that connects the scapula to the humerous	1	The Deltoid Muscle
3065	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	the back of the arm	0	The Deltoid Muscle
3066	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	Right upper side of the arm connects the scapula and humerous	0.5	The Deltoid Muscle
3067	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	upper arm near the shoulder	0	The Deltoid Muscle
3068	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	side of the forearm connected to the shoulder	0	The Deltoid Muscle
3069	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	on the side of the upper arm connected to the shoulder	0.5	The Deltoid Muscle
3070	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	on the side of the upper arm where it connects to the shoulder	0.5	The Deltoid Muscle
3071	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	side of the arm the connects to scapula and humerus	0.5	The Deltoid Muscle
3072	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	on the side of the upper arm near the shoulder where it connects to scapula and the humerus	1	The Deltoid Muscle
3073	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	outside of the upper arm at the shoulder	0.5	The Deltoid Muscle
3074	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	resides on the side of the upper arm on the shoulder. Connects the scapula to the humerus.	1	The Deltoid Muscle
3075	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	Rests on the upper arm on the shoulder blade.	0	The Deltoid Muscle
3076	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	Located on the side of the upper arm and connects the scapula to the humerus.	1	The Deltoid Muscle
3077	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	On the upper arm below the shoulder	0	The Deltoid Muscle
3078	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	"On the side of the upper arm, connecting the humerus to the body"	0.5	The Deltoid Muscle
3079	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	On the side of the upper arm at the shoulder connects the scapula and the humerus	1	The Deltoid Muscle
3080	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	shoulder	0	The Deltoid Muscle
3081	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	at the upper arm facing outward. attaches the scapula to the humerous 	1	The Deltoid Muscle
3082	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	upper arm facing away from the body. moves the upper arm away at the shoulder. attaches the scapula to the humerous	1	The Deltoid Muscle
3083	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	on the upper arm facing away from the body. attaches the scapula to the humerous 	1	The Deltoid Muscle
3084	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	the side of the upper arm facing outward at the shoulder. connects the scapula to the humerous 	1	The Deltoid Muscle
3085	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	"the upper arm, connects the shoulder to the lower arm"	0	The Deltoid Muscle
3086	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	The side of the arm and connects the scapula and the humerus	0.5	The Deltoid Muscle
3087	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	"The side of the upper arm at the shoulder, and connects the scapula to the humerus"	1	The Deltoid Muscle
3088	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	on the outside of the shoulder connecting the humerus and the scapula.	0.5	The Deltoid Muscle
3089	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	on the side of the shoulder connecting the scapula and the humorus	0.5	The Deltoid Muscle
3090	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	on the side of the upper arm connecting the scapula and the humorus	1	The Deltoid Muscle
3091	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	Resides on the upper right side of the arm just beneath the shoulder and connects the spacula to teh hummeous	0	The Deltoid Muscle
3092	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	It is located at your upper arm	0	The Deltoid Muscle
3093	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	Located at the upper arm 	0	The Deltoid Muscle
3094	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	Located at the side of upper arm	0	The Deltoid Muscle
3095	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	Located at the upper arm	0	The Deltoid Muscle
3096	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	Located at the front of shoulder connect scapula 	0	The Deltoid Muscle
3097	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	beside the shoulder connect to humerus	0	The Deltoid Muscle
3098	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	beside upper arm connect to scapular and humerus	0	The Deltoid Muscle
3099	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	beside the shoulder connect humerus and scapular	0.5	The Deltoid Muscle
3100	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	upper shoulder move away from shoulder	0	The Deltoid Muscle
3101	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	beside the shoulder to connect scapula and humerus	0.5	The Deltoid Muscle
3102	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	located beside the shoulder connect humerus and scapula	0.5	The Deltoid Muscle
3103	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	side of shoulder to connect humerus and scapula	0.5	The Deltoid Muscle
3104	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	located at upper arm of shoulder	0	The Deltoid Muscle
3105	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	"located at upper arm of your shoulder, and beside the shoulder, it connect to humerus and scapula"	1	The Deltoid Muscle
3106	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	upper arm	0	The Deltoid Muscle
3107	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	upper arm near and connects the scapula to the humerus	0.5	The Deltoid Muscle
3108	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	located on the side of the upper arm at the shoulder and connects the scapula to the humerus	1	The Deltoid Muscle
3109	Function together to flex the fingers causing the formation of a fist	make a fist	0.5	The Digital Flexor Muscles
3110	Function together to flex the fingers causing the formation of a fist	muscles flex together in order to make the fingers contract and then form a fist	1	The Digital Flexor Muscles
3111	Function together to flex the fingers causing the formation of a fist	functions together to flex together causing the formation of a fist by the hand and fingers	1	The Digital Flexor Muscles
3112	Function together to flex the fingers causing the formation of a fist	the function is to functions together and flex together causing the formation of a fist by the hand and fingers	1	The Digital Flexor Muscles
3113	Function together to flex the fingers causing the formation of a fist	function together flex together causing the formation of a fist	1	The Digital Flexor Muscles
3114	Function together to flex the fingers causing the formation of a fist	flexes the fingers into a fist	1	The Digital Flexor Muscles
3115	Function together to flex the fingers causing the formation of a fist	flexes the fingers into the palm forming a fist	1	The Digital Flexor Muscles
3116	Function together to flex the fingers causing the formation of a fist	functions together to flex the fingers pulling the fingers into the palm forming a fist	1	The Digital Flexor Muscles
3117	Function together to flex the fingers causing the formation of a fist	functions together to flex the fingers causing the formation of a fist	1	The Digital Flexor Muscles
3118	Function together to flex the fingers causing the formation of a fist	functions together to flex the fingers causing the formation of a  fist	1	The Digital Flexor Muscles
3119	Function together to flex the fingers causing the formation of a fist	functions together to flex the fingers causing the formation of a fist	1	The Digital Flexor Muscles
3120	Function together to flex the fingers causing the formation of a fist	moves fingers	0	The Digital Flexor Muscles
3121	Function together to flex the fingers causing the formation of a fist	makes the fingers make a fist	0.5	The Digital Flexor Muscles
3122	Function together to flex the fingers causing the formation of a fist	work together to make the fingers form a fist	0.5	The Digital Flexor Muscles
3123	Function together to flex the fingers causing the formation of a fist	work together to cause the fingers to form a fist	0.5	The Digital Flexor Muscles
3124	Function together to flex the fingers causing the formation of a fist	function together to make the fingers move into a fist	0.5	The Digital Flexor Muscles
3125	Function together to flex the fingers causing the formation of a fist	function together to make the fingers flex into a fist	1	The Digital Flexor Muscles
3126	Function together to flex the fingers causing the formation of a fist	function together to flex the fingers into the formation of a fist	1	The Digital Flexor Muscles
3127	Function together to flex the fingers causing the formation of a fist	function together to flex the fingers to form a fist	1	The Digital Flexor Muscles
3128	Function together to flex the fingers causing the formation of a fist	function together to flex the fingers to form a fist	1	The Digital Flexor Muscles
3129	Function together to flex the fingers causing the formation of a fist	flexes fingers 	0.5	The Digital Flexor Muscles
3130	Function together to flex the fingers causing the formation of a fist	functions together to flex the fingers to close into a fist	1	The Digital Flexor Muscles
3131	Function together to flex the fingers causing the formation of a fist	functions together to flex the fingers to make the formation of the closing of a fist	1	The Digital Flexor Muscles
3132	Function together to flex the fingers causing the formation of a fist	"functions together to flex the fingers, causing the formation of the fist"	1	The Digital Flexor Muscles
3133	Function together to flex the fingers causing the formation of a fist	function together to flex the fingers causing the formation of a fist	1	The Digital Flexor Muscles
3134	Function together to flex the fingers causing the formation of a fist	to squeeze your arm so that you are able to make a fist	0	The Digital Flexor Muscles
3135	Function together to flex the fingers causing the formation of a fist	they all function together to be able to make a fist	0.5	The Digital Flexor Muscles
3136	Function together to flex the fingers causing the formation of a fist	they all function together so that you are able to squeeze all your fingers together to be able to make a fist	1	The Digital Flexor Muscles
3137	Function together to flex the fingers causing the formation of a fist	they all function together to be able to squeeze all your fingers together to make a fist	1	The Digital Flexor Muscles
3138	Function together to flex the fingers causing the formation of a fist	they all function together to flex cause the formation of a fist	1	The Digital Flexor Muscles
3139	Function together to flex the fingers causing the formation of a fist	they all function together to flex causing the formation of a fist	1	The Digital Flexor Muscles
3140	Function together to flex the fingers causing the formation of a fist	they all work together to flex causing the formation of a fist	1	The Digital Flexor Muscles
3141	Function together to flex the fingers causing the formation of a fist	connects hand with arm	0	The Digital Flexor Muscles
3142	Function together to flex the fingers causing the formation of a fist	connects hand to arm and when flexed makes a fist	0.5	The Digital Flexor Muscles
3143	Function together to flex the fingers causing the formation of a fist	function together to form a fist	0.5	The Digital Flexor Muscles
3144	Function together to flex the fingers causing the formation of a fist	functions together to flex the fingers forming a fist	1	The Digital Flexor Muscles
3145	Function together to flex the fingers causing the formation of a fist	function together to flex the finger causing the formation of a fist	1	The Digital Flexor Muscles
3146	Function together to flex the fingers causing the formation of a fist	function together to flex the fingers causing the formation of a fist	1	The Digital Flexor Muscles
3147	Function together to flex the fingers causing the formation of a fist	function together to flex the fingers causing the formation of a fist	1	The Digital Flexor Muscles
3148	Function together to flex the fingers causing the formation of a fist	moves the fingers	0	The Digital Flexor Muscles
3149	Function together to flex the fingers causing the formation of a fist	move the fingers when making a fist	0	The Digital Flexor Muscles
3150	Function together to flex the fingers causing the formation of a fist	connects the arm to the fingers and moves the fingers when shaping a fist	0	The Digital Flexor Muscles
3151	Function together to flex the fingers causing the formation of a fist	connects the arm to the fingers and moves the fingers to make a fist	0.5	The Digital Flexor Muscles
3152	Function together to flex the fingers causing the formation of a fist	functions to flex the fingers when making a fist	1	The Digital Flexor Muscles
3153	Function together to flex the fingers causing the formation of a fist	functions together to flex the fingers forming a fist	1	The Digital Flexor Muscles
3154	Function together to flex the fingers causing the formation of a fist	function together to flex the fingers causing a formation of a fist	1	The Digital Flexor Muscles
3155	Function together to flex the fingers causing the formation of a fist	functions together to flex the fingers causing the formation of a fist	1	The Digital Flexor Muscles
3156	Function together to flex the fingers causing the formation of a fist	functions together to flex the fingers causing a formation of a fist	1	The Digital Flexor Muscles
3157	Function together to flex the fingers causing the formation of a fist	To make the hand into a fist	0	The Digital Flexor Muscles
3158	Function together to flex the fingers causing the formation of a fist	The Digital Flexor muscle makes the fingers into a fist.	1	The Digital Flexor Muscles
3159	Function together to flex the fingers causing the formation of a fist	To make the fingers into a fist	0.5	The Digital Flexor Muscles
3160	Function together to flex the fingers causing the formation of a fist	They function together to make the fingers into a fist.	0.5	The Digital Flexor Muscles
3161	Function together to flex the fingers causing the formation of a fist	They function togther to flex the fingers causing the fomation of a fist.	1	The Digital Flexor Muscles
3162	Function together to flex the fingers causing the formation of a fist	"The Digital Flexor muscles function together to flex the fingers, causing the formation of a fist."	1	The Digital Flexor Muscles
3163	Function together to flex the fingers causing the formation of a fist	"The Digital Flexor muscles function together to flex the fingers, causing the formation of a fist."	1	The Digital Flexor Muscles
3164	Function together to flex the fingers causing the formation of a fist	Flexing the fingers to make a fist.	1	The Digital Flexor Muscles
3165	Function together to flex the fingers causing the formation of a fist	Function together to contract the fingers and create the formation of a fist.	0.5	The Digital Flexor Muscles
3166	Function together to flex the fingers causing the formation of a fist	Functions together to flex the fingers causing the formation of a fist.	1	The Digital Flexor Muscles
3167	Function together to flex the fingers causing the formation of a fist	Function together to flex the fingers causing the formation of a fist.	1	The Digital Flexor Muscles
3168	Function together to flex the fingers causing the formation of a fist	Function together to flex the fingers causing the formation of a fist.	1	The Digital Flexor Muscles
3169	Function together to flex the fingers causing the formation of a fist	The Digital Flexor muscles allow the digits on the hand to be flexed.	0.5	The Digital Flexor Muscles
3170	Function together to flex the fingers causing the formation of a fist	Allows for the flexing of the digits into a fist.	1	The Digital Flexor Muscles
3171	Function together to flex the fingers causing the formation of a fist	Allows for the flexing of the digits.	0	The Digital Flexor Muscles
3172	Function together to flex the fingers causing the formation of a fist	Allows the flexing of the digits into a fist and connects the arm to the fingers.	0.5	The Digital Flexor Muscles
3173	Function together to flex the fingers causing the formation of a fist	empty	0	The Digital Flexor Muscles
3174	Function together to flex the fingers causing the formation of a fist	The Digital Flexor muscles allow for the fingers to flex into a fist.	1	The Digital Flexor Muscles
3175	Function together to flex the fingers causing the formation of a fist	Function to flex the fingers together into a fist and connects the arm to fingers.	1	The Digital Flexor Muscles
3176	Function together to flex the fingers causing the formation of a fist	The fingers flex together to form a fist and connects the forearm to the fingers.	1	The Digital Flexor Muscles
3177	Function together to flex the fingers causing the formation of a fist	Functions to flex the fingers together in the formation of a fist.	1	The Digital Flexor Muscles
3178	Function together to flex the fingers causing the formation of a fist	Functions to flex the fingers together into the formation of a fist.	1	The Digital Flexor Muscles
3179	Function together to flex the fingers causing the formation of a fist	Function to flex the fingers together into a formation of a fist.	1	The Digital Flexor Muscles
3180	Function together to flex the fingers causing the formation of a fist	empty	0	The Digital Flexor Muscles
3181	Function together to flex the fingers causing the formation of a fist	to connect the hand to the lower arm	0	The Digital Flexor Muscles
3182	Function together to flex the fingers causing the formation of a fist	when simultainiously used it is used to make a fist	0	The Digital Flexor Muscles
3183	Function together to flex the fingers causing the formation of a fist	function together to flex the fingers causing the formation of a fist	1	The Digital Flexor Muscles
3184	Function together to flex the fingers causing the formation of a fist	function together to flex the fingers causing the formation of a fist	1	The Digital Flexor Muscles
3185	Function together to flex the fingers causing the formation of a fist	function together to flex fingers causing the formation of a fist 	1	The Digital Flexor Muscles
3186	Function together to flex the fingers causing the formation of a fist	It makes the fingers form a fist	0.5	The Digital Flexor Muscles
3187	Function together to flex the fingers causing the formation of a fist	It is used in the formation of a fist by the flex of the fingers	1	The Digital Flexor Muscles
3188	Function together to flex the fingers causing the formation of a fist	Function together creating a flex in the causing the fingers to make a formation of a fist	1	The Digital Flexor Muscles
3189	Function together to flex the fingers causing the formation of a fist	Function together to create a flex causing the fingers to make a formation of a fist	1	The Digital Flexor Muscles
3190	Function together to flex the fingers causing the formation of a fist	Function together to create a flex causing the fingers to make a formation of a fist	1	The Digital Flexor Muscles
3191	Function together to flex the fingers causing the formation of a fist	to allow the fingers to bend together to form a fist	0.5	The Digital Flexor Muscles
3192	Function together to flex the fingers causing the formation of a fist	to flex the fingers together to form a fist motion	1	The Digital Flexor Muscles
3193	Function together to flex the fingers causing the formation of a fist	allows the fingers to flex together to form a fist motion	1	The Digital Flexor Muscles
3194	Function together to flex the fingers causing the formation of a fist	function together to flex the fingers causing a fist motion	1	The Digital Flexor Muscles
3195	Function together to flex the fingers causing the formation of a fist	function together to flex the fingers causing a fist motion	1	The Digital Flexor Muscles
3196	Function together to flex the fingers causing the formation of a fist	function together to flex the fingers causing a fist motion	1	The Digital Flexor Muscles
3197	Function together to flex the fingers causing the formation of a fist	functions together to move digits and form a fist	0.5	The Digital Flexor Muscles
3198	Function together to flex the fingers causing the formation of a fist	functions together in the formation of a fist	0.5	The Digital Flexor Muscles
3199	Function together to flex the fingers causing the formation of a fist	functions together to extend and flex the digits for the formation of a fist	1	The Digital Flexor Muscles
3200	Function together to flex the fingers causing the formation of a fist	allows the fingers to flex causing the formation of a fist	1	The Digital Flexor Muscles
3201	Function together to flex the fingers causing the formation of a fist	functions together in causing the formation of a fist	0.5	The Digital Flexor Muscles
3202	Function together to flex the fingers causing the formation of a fist	functions together to flex the fingers causing the formation of a fist	1	The Digital Flexor Muscles
3203	Function together to flex the fingers causing the formation of a fist	functions together to flex the fingers causing the formation of a fist	1	The Digital Flexor Muscles
3204	Function together to flex the fingers causing the formation of a fist	functions together to flex the fingers causing the formation of a fist	1	The Digital Flexor Muscles
3205	Function together to flex the fingers causing the formation of a fist	to make fist	0.5	The Digital Flexor Muscles
3206	Function together to flex the fingers causing the formation of a fist	work together to make fist	0.5	The Digital Flexor Muscles
3207	Function together to flex the fingers causing the formation of a fist	form fist	0.5	The Digital Flexor Muscles
3208	Function together to flex the fingers causing the formation of a fist	function together to flex forming fist	0.5	The Digital Flexor Muscles
3209	Function together to flex the fingers causing the formation of a fist	function together to flex fingers forming a fist	1	The Digital Flexor Muscles
3210	Function together to flex the fingers causing the formation of a fist	function together to flex fingers in the formation of a fist	1	The Digital Flexor Muscles
3211	Function together to flex the fingers causing the formation of a fist	allows for the formation of a fist	0.5	The Digital Flexor Muscles
3212	Function together to flex the fingers causing the formation of a fist	connects the arm to the fingers and allows the formation of a fist	0.5	The Digital Flexor Muscles
3213	Function together to flex the fingers causing the formation of a fist	Allows one to flex the fingers causing the formation of a fist.	1	The Digital Flexor Muscles
3214	Function together to flex the fingers causing the formation of a fist	"Work together to flex fingers, causing the formation of a fist."	1	The Digital Flexor Muscles
3215	Function together to flex the fingers causing the formation of a fist	allows fingers to make a fist	0.5	The Digital Flexor Muscles
3216	Function together to flex the fingers causing the formation of a fist	flexes the fingers to form a fist	1	The Digital Flexor Muscles
3217	Function together to flex the fingers causing the formation of a fist	work as a group to flex the fingers that allows a fist to be formed	1	The Digital Flexor Muscles
3218	Function together to flex the fingers causing the formation of a fist	muscles work together to flex the fingers that allow the formation of a fist	1	The Digital Flexor Muscles
3219	Function together to flex the fingers causing the formation of a fist	formation works together to flex the fingers to allow the formation of a fist	1	The Digital Flexor Muscles
3220	Function together to flex the fingers causing the formation of a fist	function together to flex the fingers causing the formation of a fist	1	The Digital Flexor Muscles
3221	Function together to flex the fingers causing the formation of a fist	Ability to move your fingers around	0	The Digital Flexor Muscles
3222	Function together to flex the fingers causing the formation of a fist	Allows you to flex your fingers	0.5	The Digital Flexor Muscles
3223	Function together to flex the fingers causing the formation of a fist	Functions to extend the fingers	0	The Digital Flexor Muscles
3224	Function together to flex the fingers causing the formation of a fist	Extend the fingers	0	The Digital Flexor Muscles
3225	Function together to flex the fingers causing the formation of a fist	Functions to extend the fingers when forming a fist	0	The Digital Flexor Muscles
3226	Function together to flex the fingers causing the formation of a fist	Functions together to flex the fingers when the arm is connected to the fingers	0.5	The Digital Flexor Muscles
3227	Function together to flex the fingers causing the formation of a fist	Function together to flex the fingers when there is a formation of the fist	1	The Digital Flexor Muscles
3228	Function together to flex the fingers causing the formation of a fist	to move your fingers to form a fist	0.5	The Digital Flexor Muscles
3229	Function together to flex the fingers causing the formation of a fist	to form a fist with your fingers	0.5	The Digital Flexor Muscles
3230	Function together to flex the fingers causing the formation of a fist	to flex the fingers the cause a formation of a fist	1	The Digital Flexor Muscles
3231	Function together to flex the fingers causing the formation of a fist	functioning together to flex the fingers to form a fist	1	The Digital Flexor Muscles
3232	Function together to flex the fingers causing the formation of a fist	functioning together to flex the fingers to create the formation of a fist	1	The Digital Flexor Muscles
3233	Function together to flex the fingers causing the formation of a fist	closes the figers to make a fist	0.5	The Digital Flexor Muscles
3234	Function together to flex the fingers causing the formation of a fist	closes the fingers to make a fist	0.5	The Digital Flexor Muscles
3235	Function together to flex the fingers causing the formation of a fist	works together to flex the fingers to make a fist	1	The Digital Flexor Muscles
3236	Function together to flex the fingers causing the formation of a fist	works together to close the fingers to make a fist. 	0.5	The Digital Flexor Muscles
3237	Function together to flex the fingers causing the formation of a fist	works together to flex the fingers to make the formation of a fist	1	The Digital Flexor Muscles
3238	Function together to flex the fingers causing the formation of a fist	functions together to flex the fingers causing the formation of a fist	1	The Digital Flexor Muscles
3239	Function together to flex the fingers causing the formation of a fist	Functions to control move the fingers.	0	The Digital Flexor Muscles
3240	Function together to flex the fingers causing the formation of a fist	Functions to extend the lower arm at the elbow.	0	The Digital Flexor Muscles
3241	Function together to flex the fingers causing the formation of a fist	Functions to contract the fingers into the shape of a fist.	0.5	The Digital Flexor Muscles
3242	Function together to flex the fingers causing the formation of a fist	Functions together to flex the fingers causing the formation of a fist.	1	The Digital Flexor Muscles
3243	Function together to flex the fingers causing the formation of a fist	conracts the fingers to form a fist	0.5	The Digital Flexor Muscles
3244	Function together to flex the fingers causing the formation of a fist	"work together to clench the fingers, forming a fist"	0.5	The Digital Flexor Muscles
3245	Function together to flex the fingers causing the formation of a fist	"operate together to flex the fingers, causing the formation of a fist"	1	The Digital Flexor Muscles
3246	Function together to flex the fingers causing the formation of a fist	flexes the fingers to make a fist	1	The Digital Flexor Muscles
3247	Function together to flex the fingers causing the formation of a fist	flexes fingers together in order to make a fist	1	The Digital Flexor Muscles
3248	Function together to flex the fingers causing the formation of a fist	flexes the fingers together in a formation of a fist	1	The Digital Flexor Muscles
3249	Function together to flex the fingers causing the formation of a fist	functions fingers together to flex in a formation of a fist. 	1	The Digital Flexor Muscles
3250	Function together to flex the fingers causing the formation of a fist	"To move the fingers, make a fist"	0	The Digital Flexor Muscles
3251	Function together to flex the fingers causing the formation of a fist	Function as a group to flex the fingers. Make a fist	1	The Digital Flexor Muscles
3252	Function together to flex the fingers causing the formation of a fist	Function as a group to flex the fingers causing the formation of a fist	1	The Digital Flexor Muscles
3253	Function together to flex the fingers causing the formation of a fist	to make the finger into a fist	0.5	The Digital Flexor Muscles
3254	Function together to flex the fingers causing the formation of a fist	function to move the finger to make a fist	0.5	The Digital Flexor Muscles
3255	Function together to flex the fingers causing the formation of a fist	functions together to move the fingers causing a formation of a fist	0.5	The Digital Flexor Muscles
3256	Function together to flex the fingers causing the formation of a fist	empty	0	The Digital Flexor Muscles
3257	Function together to flex the fingers causing the formation of a fist	Functions to move the fingers	0	The Digital Flexor Muscles
3258	Function together to flex the fingers causing the formation of a fist	Functions cause the fingers to form a fist	0.5	The Digital Flexor Muscles
3259	Function together to flex the fingers causing the formation of a fist	Functions to bring the fingers together causing the formation of a fist	0.5	The Digital Flexor Muscles
3260	Function together to flex the fingers causing the formation of a fist	To bend finger and make it fist	0.5	The Digital Flexor Muscles
3261	Function together to flex the fingers causing the formation of a fist	Move fingers to make a form of fist	0.5	The Digital Flexor Muscles
3262	Function together to flex the fingers causing the formation of a fist	Make finger together to formation of the fist	0.5	The Digital Flexor Muscles
3263	Function together to flex the fingers causing the formation of a fist	To make formation of fist 	0.5	The Digital Flexor Muscles
3264	Function together to flex the fingers causing the formation of a fist	together make fingers into fist	0.5	The Digital Flexor Muscles
3265	Function together to flex the fingers causing the formation of a fist	formation	0	The Digital Flexor Muscles
3266	Function together to flex the fingers causing the formation of a fist	together formation of making fingers to fist	0.5	The Digital Flexor Muscles
3267	Function together to flex the fingers causing the formation of a fist	function together to make fingers to make a fist	0.5	The Digital Flexor Muscles
3268	Function together to flex the fingers causing the formation of a fist	function together to causing fingers to make fist	0.5	The Digital Flexor Muscles
3269	Function together to flex the fingers causing the formation of a fist	funtion together to make fingers casing formation of fist	0.5	The Digital Flexor Muscles
3270	Function together to flex the fingers causing the formation of a fist	function together causing flex fingers to make fist	1	The Digital Flexor Muscles
3271	Function together to flex the fingers causing the formation of a fist	connects the arm to the fingers and causes the flexing of fingers to make a fist	1	The Digital Flexor Muscles
3272	Function together to flex the fingers causing the formation of a fist	"flexes the muscles of the fingers, making a fist"	0.5	The Digital Flexor Muscles
3273	Function together to flex the fingers causing the formation of a fist	function together to flex the muscle of the finger to make a fist	1	The Digital Flexor Muscles
3274	Function together to flex the fingers causing the formation of a fist	function together to lex the muscles of the finger causing the formation of a fist	1	The Digital Flexor Muscles
3275	Is stimulated by the median and ulnar nerves	medial and ulnar nerves	0.5	The Digital Flexor Muscles
3276	Is stimulated by the median and ulnar nerves	stimulated by the median and ulnar nerves	1	The Digital Flexor Muscles
3277	Is stimulated by the median and ulnar nerves	stimulated by the median and ulnar nerves	1	The Digital Flexor Muscles
3278	Is stimulated by the median and ulnar nerves	stimulated by the median and ulnar nerves	1	The Digital Flexor Muscles
3279	Is stimulated by the median and ulnar nerves	median and ulnar nerves	0.5	The Digital Flexor Muscles
3280	Is stimulated by the median and ulnar nerves	stimulated by the median and ulnar nerves	1	The Digital Flexor Muscles
3281	Is stimulated by the median and ulnar nerves	stimulated by the median and ulnar nerve	1	The Digital Flexor Muscles
3282	Is stimulated by the median and ulnar nerves	moves fingers	0	The Digital Flexor Muscles
3283	Is stimulated by the median and ulnar nerves	is stimulated by the ulnar nerve	0.5	The Digital Flexor Muscles
3284	Is stimulated by the median and ulnar nerves	is stimulated by the ulnar nerve	0.5	The Digital Flexor Muscles
3285	Is stimulated by the median and ulnar nerves	is stimulated by the ulnar nerve	0.5	The Digital Flexor Muscles
3286	Is stimulated by the median and ulnar nerves	radial and median nerves	0	The Digital Flexor Muscles
3287	Is stimulated by the median and ulnar nerves	stimulated by the median and and ulnar nerves	1	The Digital Flexor Muscles
3288	Is stimulated by the median and ulnar nerves	stimulated by the median and ulnar nerves	1	The Digital Flexor Muscles
3289	Is stimulated by the median and ulnar nerves	stimulated by the median and ulnar nerves	1	The Digital Flexor Muscles
3290	Is stimulated by the median and ulnar nerves	radial nerve	0	The Digital Flexor Muscles
3291	Is stimulated by the median and ulnar nerves	median and ulnar nerves	0.5	The Digital Flexor Muscles
3292	Is stimulated by the median and ulnar nerves	median and ulnar nerves	0.5	The Digital Flexor Muscles
3293	Is stimulated by the median and ulnar nerves	median and ulner nerves	0.5	The Digital Flexor Muscles
3294	Is stimulated by the median and ulnar nerves	empty	0	The Digital Flexor Muscles
3295	Is stimulated by the median and ulnar nerves	urinal nerve	0	The Digital Flexor Muscles
3296	Is stimulated by the median and ulnar nerves	stimulated by the median and ulnar nerves	1	The Digital Flexor Muscles
3297	Is stimulated by the median and ulnar nerves	stimulated by the median and ulnar nerves	1	The Digital Flexor Muscles
3298	Is stimulated by the median and ulnar nerves	stimulated by the median and ulnar nerves	1	The Digital Flexor Muscles
3299	Is stimulated by the median and ulnar nerves	stimulates the ulnar and median nerves	0	The Digital Flexor Muscles
3300	Is stimulated by the median and ulnar nerves	median and ulnar nerves	0.5	The Digital Flexor Muscles
3301	Is stimulated by the median and ulnar nerves	empty	0	The Digital Flexor Muscles
3302	Is stimulated by the median and ulnar nerves	It is stimulated by the medial nerve	0	The Digital Flexor Muscles
